Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,39.160000,39.230000,37.919998,38.209999,35.669792,1591600
2020-10-02,37.549999,38.869999,37.509998,38.650002,36.080540,1109100
2020-10-05,39.040001,40.980000,39.040001,40.959999,38.236965,2432900
2020-10-06,41.250000,41.369999,39.919998,40.099998,37.434151,1169800
2020-10-07,40.669998,40.820000,40.130001,40.400002,37.714203,907800
2020-10-08,40.700001,40.790001,40.150002,40.759998,38.050270,874200
2020-10-09,40.970001,41.290001,40.630001,41.009998,38.283649,1079500
2020-10-12,41.009998,41.279999,40.701000,41.110001,38.377007,813400
2020-10-13,40.810001,40.889999,40.020000,40.110001,37.443481,1096400
2020-10-14,40.169998,40.580002,39.860001,40.029999,37.368801,902800
2020-10-15,39.500000,40.279999,39.090000,40.259998,37.583511,1097100
2020-10-16,40.549999,40.840000,40.169998,40.220001,37.546173,693700
2020-10-19,40.490002,40.865002,39.990002,40.080002,37.415478,870600
2020-10-20,40.250000,41.049999,40.080002,40.529999,37.835556,847600
2020-10-21,40.470001,41.849998,40.169998,41.740002,38.965122,1280700
2020-10-22,41.770000,42.160000,41.480000,41.880001,39.095810,898000
2020-10-23,42.099998,42.189999,41.160000,41.570000,38.806423,793700
2020-10-26,41.200001,41.330002,40.439999,40.730000,38.022259,787200
2020-10-27,40.540001,41.009998,40.320000,40.410000,37.723537,1652500
2020-10-28,39.650002,40.669998,39.310001,40.160000,37.490162,1843300
2020-10-29,40.000000,41.150002,39.669998,40.970001,38.246307,1080300
2020-10-30,40.759998,41.000000,40.139999,40.680000,37.975586,1653000
2020-11-02,41.049999,41.750000,40.700001,41.590000,38.825092,1622900
2020-11-03,40.209999,40.250000,38.389999,38.400002,35.847164,3887000
2020-11-04,38.400002,39.020000,37.790001,38.490002,35.931183,1628700
2020-11-05,39.250000,40.470001,38.849998,40.380001,37.695538,2400800
2020-11-06,40.560001,40.645000,39.634998,39.799999,37.154091,1228500
2020-11-09,41.880001,42.669998,40.270000,40.880001,38.162296,1499300
